Date : 2025-01-27 18:00:35
Directory : c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts
Total : 1369 files,  1443553 codes, 5579 comments, 8375 blanks, all 1457507 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |        601 |  1,370,626 |          0 |        404 |  1,371,030 |
| TypeScript         |        516 |     65,158 |      1,590 |      5,388 |     72,136 |
| Solidity           |        237 |      7,285 |      3,980 |      2,465 |     13,730 |
| TypeScript JSX     |          6 |        387 |          0 |         91 |        478 |
| JSON with Comments |          2 |         37 |          0 |          2 |         39 |
| Markdown           |          2 |         26 |          0 |         14 |         40 |
| CSS                |          1 |         23 |          0 |          5 |         28 |
| JavaScript         |          2 |          8 |          2 |          4 |         14 |
| Properties         |          1 |          3 |          0 |          0 |          3 |
| Git Commit Message |          1 |          0 |          7 |          2 |          9 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                               | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                  |      1,369 |  1,443,553 |      5,579 |      8,375 |  1,457,507 |
| . (Files)                                                                                                                                                                          |          7 |      8,762 |          0 |          9 |      8,771 |
| artifacts                                                                                                                                                                          |        400 |     24,061 |          0 |        398 |     24,459 |
| artifacts\@openzeppelin                                                                                                                                                            |         44 |      2,456 |          0 |         44 |      2,500 |
| artifacts\@openzeppelin\contracts                                                                                                                                                  |         44 |      2,456 |          0 |         44 |      2,500 |
| artifacts\@openzeppelin\contracts\access                                                                                                                                           |          6 |        537 |          0 |          6 |        543 |
| artifacts\@openzeppelin\contracts\access\AccessControl.sol                                                                                                                         |          2 |        240 |          0 |          2 |        242 |
| artifacts\@openzeppelin\contracts\access\IAccessControl.sol                                                                                                                        |          2 |        208 |          0 |          2 |        210 |
| artifacts\@openzeppelin\contracts\access\Ownable.sol                                                                                                                               |          2 |         89 |          0 |          2 |         91 |
| artifacts\@openzeppelin\contracts\interfaces                                                                                                                                       |          8 |        722 |          0 |          8 |        730 |
